id,x,y,empire id,star type
0,11.648170,15.443649,0,YELLOW,Home
1,8.902267,14.518679,0,YELLOW,Bernard
2,13.384400,17.733810,0,YELLOW,Hawking
3,99.056000,117.323586,1,RED,Ursa
4,99.342346,115.000702,1,ORANGE,Burz
5,96.807968,118.558311,1,YELLOW,Sharkub
6,89.697571,60.963619,2,YELLOW,Cryslon
7,87.257095,60.189671,2,YELLOW,Aegir
8,90.879341,58.780922,2,RED,Apat
9,130.554077,118.974289,3,ORANGE,Nazin
10,132.580780,119.707489,3,RED,Baranduin
11,128.783112,120.087334,3,ORANGE,Orthanc
12,77.765289,14.347719,4,YELLOW,Kholdan
13,79.928650,12.910055,4,RED,Acanceh
14,75.548180,12.803004,4,BLUE,Naachtun
15,148.910812,51.667568,5,RED,Meklon
16,146.901459,50.786110,5,BLUE,53 Aquila
17,149.531158,49.406864,5,RED,86 Cetus
18,171.063370,25.951635,6,ORANGE,Fierias
19,169.429001,27.913048,6,ORANGE,Achernar
20,173.821732,26.994392,6,RED,Botein
21,134.989914,5.533473,7,YELLOW,Sssla
22,137.035828,4.131825,7,YELLOW,Narolth
23,135.903519,8.322746,-1,BLUE,
24,146.678864,28.304817,8,RED,Altair
25,149.189453,29.692175,8,RED,Ochi
26,144.545837,26.332335,8,RED,Koriki
27,15.658779,71.843849,9,YELLOW,Earth
28,18.478874,72.725937,9,RED,Acamar
29,14.768690,73.678055,9,RED,Drayan
30,140.253143,102.908882,10,RED,Mordor
31,142.465973,102.282722,10,BLUE,Poros
32,140.785706,105.252380,10,WHITE,Lithlad
33,180.031357,87.602951,11,RED,Klackant
34,182.005737,86.074776,11,ORANGE,Cansacbe
35,177.776077,87.802277,11,PURPLE,Oxpemul
36,88.022087,6.758041,12,YELLOW,Psilar
37,89.465103,4.316327,12,BLUE,Pasteur
38,87.001289,9.053415,12,WHITE,Humboldt
39,122.521484,50.616013,13,YELLOW,Tellus
40,124.364670,52.671009,13,WHITE,Ingraham
41,120.914528,52.975716,13,WHITE,Troyius
42,26.114668,59.986183,14,ORANGE,Volary
43,28.461273,58.599552,14,RED,Nagai
44,28.643089,61.307854,-1,RED,
45,45.335548,115.697685,15,RED,Optimus
46,46.640324,113.267853,15,BLUE,9 Lepus
47,47.117092,117.350380,-1,ORANGE,
48,155.287338,94.860138,16,RED,Miamara
49,152.770859,94.634521,16,ORANGE,Wezn
50,153.713867,96.409813,16,BLUE,Dirac
51,61.635822,118.830597,17,ORANGE,Canis
52,60.748203,116.915657,17,ORANGE,Ghamonk
53,59.701244,118.681183,17,RED,Khadba
54,31.304731,70.631958,18,YELLOW,Silican
55,30.632679,73.527061,18,ORANGE,Agate
56,32.620155,72.291924,18,ORANGE,Ajoite
57,20.797932,81.206673,19,ORANGE,Repta
58,19.577536,83.604156,19,YELLOW,Ralarth
59,18.954386,80.676620,19,YELLOW,Cenolth
60,122.663879,29.420130,20,ORANGE,Arthropon
61,120.220978,28.374739,20,ORANGE,Akte
62,124.864655,28.459503,20,RED,Kana
63,48.665203,13.068159,21,YELLOW,Fierina
64,49.362144,11.050621,21,ORANGE,Mankib
65,50.646469,14.347334,21,ORANGE,Auva
66,54.398678,98.029884,22,RED,Tyrann
67,55.929680,100.115631,22,ORANGE,Tesselth
68,54.994949,95.599228,22,RED,Lagiocrus
69,109.041229,96.602585,23,RED,Igneous
70,110.026245,98.453331,23,RED,Born
71,111.743279,96.186256,23,ORANGE,Unak
72,3.797353,4.188949,0,ORANGE,Pandara
73,3.859200,6.566885,0,ORANGE,Olur
74,5.691523,3.913452,0,RED,Libby
75,28.988304,48.028294,0,ORANGE,Hel
76,30.706131,45.660992,0,RED,Barad-Dur
77,26.509789,49.500000,0,ORANGE,Tharbad
78,175.376770,100.631676,26,RED,Metrica
79,177.850357,99.128983,26,ORANGE,Born
80,173.679596,99.372322,26,PURPLE,Mead
81,130.138046,20.114525,20,YELLOW,Calculon
82,128.024002,20.301506,27,ORANGE,15 Crater
83,128.829910,18.432581,27,RED,20 Libra
84,67.813179,56.674828,28,RED,Aerie
85,69.845367,55.829670,28,YELLOW,Otera
86,69.566154,58.784302,28,RED,Satake
87,86.554626,85.664284,29,ORANGE,Terra
88,86.643539,88.021271,29,BLUE,Dakala
89,88.084846,83.505035,29,YELLOW,Terlina
90,37.936790,16.373539,0,YELLOW,Hades
91,38.431782,18.376064,0,BLUE,Elostirion
92,35.974174,16.195099,0,ORANGE,Faraday
93,171.681274,73.972298,31,ORANGE,Midgard
94,169.257935,75.450012,31,BLUE,Klendeth
95,174.012421,75.703445,31,RED,Uxal
96,22.489294,29.691940,0,ORANGE,Karst
97,21.061577,27.856411,0,YELLOW,Fluor
98,21.446959,32.474998,0,ORANGE,Apophyl
99,67.946487,23.130222,33,YELLOW,Miriana
100,65.164528,23.564861,33,ORANGE,Ankaa
101,67.228767,21.197092,33,RED,Hamal
102,183.496170,114.819359,34,RED,Aegir
103,183.288803,112.620743,34,ORANGE,Nagai
104,183.444107,116.959854,34,ORANGE,Kato
105,40.777527,51.366146,35,ORANGE,Klockan
106,38.499397,51.632149,35,ORANGE,Gumarcaj
107,39.666023,53.903095,35,YELLOW,Oxpemul
108,78.062683,94.621185,36,ORANGE,Bender
109,80.629807,93.613411,36,BLUE,3 Auriga
110,75.599815,93.296547,-1,ORANGE,
111,112.119286,133.605286,37,ORANGE,Saur
112,110.207718,135.577713,37,RED,Nessonth
113,111.824547,130.646576,44,ORANGE,Larak
114,168.370621,13.863169,38,ORANGE,Cogitar
115,170.354828,14.860512,38,RED,Vesalius
116,165.726746,12.876951,38,WHITE,Descartes
117,39.641029,40.766235,0,RED,Grizzla
118,38.086895,43.307381,0,YELLOW,Grogmar
119,37.160267,40.925793,0,BLUE,Durbul
120,83.908562,136.599197,40,ORANGE,Raptor
121,82.046127,136.101578,40,BLUE,Narolth
